data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,-0.499962777,-2.81E-06,2.541084498,0.937652101,0.015341523
2,0.08758826,-0.467678636,-1.70E-06,,,
3,0.17515212,-0.435320616,-9.77E-07,,,
4,0.26274576,-0.403032839,-4.56E-07,,,
5,0.35033568,-0.370687246,-1.43E-07,,,
6,0.43791768,-0.338370234,8.22473680273106E-08,,,
7,0.52548886,-0.306011885,2.44242187363852E-07,,,
8,0.61307034,-0.273726702,3.31025063360357E-07,,,
9,0.70065596,-0.241392553,4.12022586715466E-07,,,
10,0.7882402,-0.209070802,4.87234274260118E-07,,,
11,0.87580952,-0.176750913,5.04590843775077E-07,,,
12,0.96338204,-0.144429341,5.21947413290036E-07,,,
13,1.05095778,-0.112107493,5.33518516476761E-07,,,
14,1.13854046,-0.079785325,5.45089619663486E-07,,,
15,1.22610482,-0.047463443,5.79802701849985E-07,,,
16,1.31369342,-0.015149907,5.45089562820067E-07,,,
17,1.40125798,0.017171286,6.02944851380016E-07,,,
18,1.48882316,0.049495026,5.79802758693404E-07,,,
19,1.57639306,0.081818171,5.85588281865057E-07,,,
20,1.6639693,0.114134945,6.14515840879903E-07,,,
21,1.75154886,0.146459118,6.14515840879903E-07,,,
22,1.83912728,0.17878601,6.14515954566741E-07,,,
23,1.9267166,0.211107492,6.89727698954812E-07,,,
24,2.01428646,0.243452579,7.12869734798005E-07,,,
25,2.10186712,0.275719792,7.30226304312964E-07,,,
26,2.1894298,0.308071375,7.76510091782256E-07,,,
27,2.27702188,0.340397686,8.92219190973265E-07,,,
28,2.36459716,0.372714669,1.01371369964909E-06,,,
29,2.45217808,0.405029178,1.18727723474876E-06,,,
30,2.53977774,0.437313706,1.38398218041402E-06,,,
31,2.62736424,0.469671726,1.68482529261382E-06,,,
32,2.714932,0.501986921,2.11294923246896E-06,,,
33,2.8025182,0.534333706,2.66256552095001E-06,,,
34,2.89008144,0.566621125,3.42045927936852E-06,,,
35,2.97766022,0.598977625,4.39820178144146E-06,,,
36,3.06524882,0.631255448,5.6305020734726E-06,,,
37,3.15283234,0.66360271,7.24464234735933E-06,,,
38,3.24040294,0.695922673,9.34476065594936E-06,,,
39,3.32797974,0.728277087,1.19192827696679E-05,,,
40,3.41555862,0.760563612,1.52401344166719E-05,,,
41,3.50312562,0.792914748,1.94230087799951E-05,,,
42,3.59072328,0.825226605,2.46299150603591E-05,,,
43,3.6783117,0.857544899,3.10054711007979E-05,,,
44,3.7658754,0.889867723,3.8919966755202E-05,,,
45,3.85346094,0.922151625,4.85064447275363E-05,,,
46,3.94103396,0.954500258,6.0233534895815E-05,,,
47,4.02859968,0.98682183,7.44078861316666E-05,,,
48,4.11618022,1.019170761,9.14923075470142E-05,,,
49,4.2037624,1.051454067,0.000111892,,,
50,4.29132946,1.083805442,0.000136295,,,
51,4.37894192,1.116086006,0.00016517,,,
52,4.4665515,1.14844501,0.000199397,,,
53,4.55416146,1.180766106,0.000239634,,,
54,4.64177092,1.213109612,0.000286826,,,
55,4.72938008,1.245391846,0.000341823,,,
56,4.81697862,1.277753353,0.000406012,,,
57,4.904562,1.310067177,0.000480401,,,
58,4.99218496,1.342353225,0.000566252,,,
59,5.07978752,1.374714375,0.000665374,,,
60,5.16738326,1.406988382,0.000778924,,,
61,5.25498552,1.439336419,0.000909253,,,
62,5.34257848,1.471661448,0.001057945,,,
63,5.43017606,1.504001856,0.001227319,,,
64,5.51777162,1.536296129,0.001419401,,,
65,5.60537694,1.568654299,0.00163735,,,
66,5.69295634,1.600929379,0.001882936,,,
67,5.7805601,1.633275747,0.002160314,,,
68,5.8681548,1.66560173,0.002471991,,,
69,5.95575942,1.697951674,0.00282186,,,
70,6.0433442,1.730240703,0.00321273,,,
71,6.13095172,1.762586951,0.003650044,,,
72,6.21853624,1.794894338,0.004136947,,,
73,6.3061369,1.827185869,0.004678153,,,
74,6.39374642,1.859543204,0.005280273,,,
75,6.4813444,1.891820788,0.005945659,,,
76,6.56896554,1.924172163,0.006683384,,,
77,6.65654678,1.956505299,0.007497456,,,
78,6.74413982,1.988847852,0.008394997,,,
79,6.83175268,2.021129847,0.009380733,,,
80,6.91936842,2.053486586,0.01046605,,,
81,7.00698968,2.085776329,0.011654014,,,
82,7.09456536,2.11776638,0.012940474,,,
83,7.1821554,2.15036869,0.014376423,,,
84,7.2697249,2.182905197,0.015942205,,,
85,7.35730228,2.214801073,0.017615855,,,
86,7.44488654,2.247350216,0.019475214,,,
87,7.53248148,2.279871225,0.021497507,,,
88,7.62008498,2.311817169,0.023655454,,,
89,7.70770026,2.344347715,0.02603958,,,
90,7.79529292,2.376880407,0.028625917,,,
91,7.88290706,2.408755064,0.031367376,,,
92,7.9704865,2.441274405,0.03439543,,,
93,8.05807752,2.473207235,0.037606243,,,
94,8.14567182,2.505747795,0.041138604,,,
95,8.2332688,2.538262606,0.044949658,,,
96,8.32086366,2.569968224,0.048955373,,,
97,8.40847218,2.60248518,0.053375684,,,
98,8.49607236,2.635023117,0.058140945,,,
99,8.58366066,2.666949034,0.063170418,,,
100,8.67126322,2.699474335,0.068682291,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
