data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,8.099562645,6.9551447268168E-07,2.540932233,0.07188237,0.065154505
2,0.08759242,8.103544235,7.07085177964473E-07,,,
3,0.1751724,8.107515335,6.78158357914072E-07,,,
4,0.26274938,8.111535072,7.01299768479657E-07,,,
5,0.35032154,8.115496635,6.95514415838261E-07,,,
6,0.4378965,8.119510651,7.12870530605869E-07,,,
7,0.5254842,8.123467445,7.07085177964473E-07,,,
8,0.61305472,8.128108978,7.01299825323076E-07,,,
9,0.70063316,8.132110596,7.12870530605869E-07,,,
10,0.78820848,8.136080742,6.95514415838261E-07,,,
11,0.87578438,8.140073776,7.12870530605869E-07,,,
12,0.96336996,8.144068718,6.95514415838261E-07,,,
13,1.0509511,8.148036957,6.95514415838261E-07,,,
14,1.13853434,8.152024269,7.01299768479657E-07,,,
15,1.22610694,8.156006813,7.07085177964473E-07,,,
16,1.31368898,8.160014153,7.18655883247266E-07,,,
17,1.40128414,8.164020538,7.36011998014874E-07,,,
18,1.4888606,8.167989731,7.18655883247266E-07,,,
19,1.57642798,8.171955109,7.07085177964473E-07,,,
20,1.66399556,8.176609993,6.95514415838261E-07,,,
21,1.75157422,8.180610657,7.24441235888662E-07,,,
22,1.83914896,8.18459034,6.95514415838261E-07,,,
23,1.92672588,8.188567162,7.07085177964473E-07,,,
24,2.0143009,8.192533493,7.12870530605869E-07,,,
25,2.10187442,8.196555138,7.4179735065627E-07,,,
26,2.1894596,8.200510979,7.24441235888662E-07,,,
27,2.27703034,8.204518318,7.4179735065627E-07,,,
28,2.36461266,8.208479881,7.18655883247266E-07,,,
29,2.45218888,8.21246624,7.36011998014874E-07,,,
30,2.53976892,8.216433525,7.47582646454248E-07,,,
31,2.62733928,8.22041893,7.4179735065627E-07,,,
32,2.71491104,8.225075722,7.36011998014874E-07,,,
33,2.80249326,8.229066849,7.47582646454248E-07,,,
34,2.89006208,8.233047485,7.53367942252225E-07,,,
35,2.97764044,8.237031937,7.64938533848181E-07,,,
36,3.06521454,8.241014481,7.59153238050203E-07,,,
37,3.15279034,8.245027542,7.59153238050203E-07,,,
38,3.24037674,8.24902916,7.53367942252225E-07,,,
39,3.32794642,8.253046989,7.70723829646158E-07,,,
40,3.4155244,8.257022858,7.4179735065627E-07,,,
41,3.50311086,8.261022568,7.93865069681488E-07,,,
42,3.59068948,8.264984131,7.82294421242113E-07,,,
43,3.67828372,8.268984795,7.70723829646158E-07,,,
44,3.76585646,8.272954941,7.93865069681488E-07,,,
45,3.85343454,8.277601242,8.17006252873398E-07,,,
46,3.94102158,8.281619072,8.05435661277443E-07,,,
47,4.02859786,8.285574913,8.05435661277443E-07,,,
48,4.11618142,8.28958416,8.28576844469353E-07,,,
49,4.20375436,8.293556213,8.45932788706705E-07,,,
50,4.29134522,8.297545433,9.09571099327877E-07,,,
51,4.37891428,8.301513672,9.03785746686481E-07,,,
52,4.46651304,8.305502892,1.05420349427732E-06,,,
53,4.55409024,8.309479713,1.76000980900426E-06,,,
54,4.6416832,8.313474655,5.60144826522446E-06,,,
55,4.72925762,8.317429543,0.000451052,,,
56,4.81684596,8.321429253,0.001094441,,,
57,4.9044351,8.326083183,0.001870874,,,
58,4.99202862,8.330086708,0.002797083,,,
59,5.0796208,8.334090233,0.003885666,,,
60,5.16721078,8.338079453,0.005068349,,,
61,5.25480792,8.34204483,0.006267073,,,
62,5.34240596,8.346038818,0.007463888,,,
63,5.42998552,8.35000515,0.008621017,,,
64,5.5175757,8.353992462,0.009780725,,,
65,5.60515454,8.357964516,0.010937379,,,
66,5.69273204,8.361948967,0.012105099,,,
67,5.78032356,8.365929604,0.013266544,,,
68,5.86790974,8.369907379,0.014409044,,,
69,5.95550514,8.373894691,0.015547773,,,
70,6.04308858,8.378530502,0.016940996,,,
71,6.13067092,8.382519722,0.018021528,,,
72,6.21825778,8.386484146,0.019100709,,,
73,6.3058424,8.390476227,0.020177582,,,
74,6.39342632,8.394454002,0.021235751,,,
75,6.48099744,8.398481369,0.022303468,,,
76,6.56859824,8.402413368,0.023313791,,,
77,6.65618384,8.40639019,0.024335885,,,
78,6.74376124,8.410388947,0.025347166,,,
79,6.8313395,8.414382935,0.026349396,,,
80,6.91893018,8.418382645,0.027332421,,,
81,7.00652334,8.422406197,0.028323038,,,
82,7.0940999,8.427032471,0.029558178,,,
83,7.18169176,8.431035042,0.030479049,,,
84,7.26929868,8.434996605,0.031391475,,,
85,7.35688334,8.438996315,0.032308351,,,
86,7.44447398,8.4429636,0.033207696,,,
87,7.53206798,8.446946144,0.03410852,,,
88,7.61966918,8.450933456,0.034997243,,,
89,7.70727386,8.454914093,0.035877451,,,
90,7.79488244,8.458895683,0.036748592,,,
91,7.88249066,8.462891579,0.037620369,,,
92,7.97010706,8.466849327,0.03846366,,,
93,8.05769368,8.470830917,0.039315861,,,
94,8.14529754,8.475486755,0.04045153,,,
95,8.23290962,8.479454994,0.041250717,,,
96,8.32052448,8.4834795,0.042083297,,,
97,8.4081199,8.487415314,0.042866055,,,
98,8.49572628,8.491411209,0.043679595,,,
99,8.58334332,8.495396614,0.044480663,,,
100,8.67094224,8.499407768,0.04528762,,,
