data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,8.699566841,9.84778921520046E-07,2.541368263,0.0614483,0.04180885
2,0.08759852,8.701559067,9.84778921520046E-07,,,
3,0.17519958,8.703534126,9.96349399429164E-07,,,
4,0.26279666,8.705533981,1.03106106053019E-06,,,
5,0.35037458,8.707546234,1.00791999102512E-06,,,
6,0.43795988,8.709521294,1.01949058262107E-06,,,
7,0.52554946,8.711511612,1.04841672055045E-06,,,
8,0.6131445,8.713514328,1.04841694792412E-06,,,
9,0.70074104,8.715521812,1.04841706161096E-06,,,
10,0.78832154,8.717550278,1.04841706161096E-06,,,
11,0.87591012,8.719488144,1.0657729490049E-06,,,
12,0.96349976,8.721469879,1.07734342691401E-06,,,
13,1.05109424,8.723462105,1.07734331322717E-06,,,
14,1.1386883,8.726119995,1.08312883639883E-06,,,
15,1.2262749,8.728132248,1.10626979221706E-06,,,
16,1.3138583,8.730093956,1.10626979221706E-06,,,
17,1.4014469,8.732084274,1.12941097540897E-06,,,
18,1.48904022,8.734093666,1.13519615752011E-06,,,
19,1.57663658,8.73609066,1.16412263651E-06,,,
20,1.66422314,8.738087654,1.15833745439886E-06,,,
21,1.75180526,8.740058899,1.15255193122721E-06,,,
22,1.8394176,8.742052078,1.19304900181305E-06,,,
23,1.9270136,8.744047165,1.18147818284342E-06,,,
24,2.01461948,8.746031761,1.22197548080294E-06,,,
25,2.10223112,8.748026848,1.21040466183331E-06,,,
26,2.1898372,8.750037193,1.21618995763129E-06,,,
27,2.27744832,8.75202179,1.26247232401511E-06,,,
28,2.36506418,8.754013062,1.26247232401511E-06,,,
29,2.4526631,8.756015778,1.30296916722727E-06,,,
30,2.54026912,8.758027077,1.31453975882323E-06,,,
31,2.6278739,8.760050774,1.31453964513639E-06,,,
32,2.71548138,8.762056351,1.34346601043944E-06,,,
33,2.80309304,8.764048576,1.38974837682326E-06,,,
34,2.89068756,8.766041756,1.39553344524757E-06,,,
35,2.97829678,8.768023491,1.40131874104554E-06,,,
36,3.06590114,8.770030975,1.45338651691418E-06,,,
37,3.15351102,8.772008896,1.46495676744962E-06,,,
38,3.24110256,8.774003983,1.49966876961116E-06,,,
39,3.32871304,8.776669502,1.54595090862131E-06,,,
40,3.41631326,8.778660774,1.62115952662134E-06,,,
41,3.5039099,8.780660629,1.6385151866416E-06,,,
42,3.59151806,8.782634735,1.71372403201531E-06,,,
43,3.67912504,8.784625053,1.76579169419711E-06,,,
44,3.76671226,8.78662014,1.85257067641942E-06,,,
45,3.85431148,8.788601875,1.95670554603566E-06,,,
46,3.94190732,8.790589333,2.07241077987419E-06,,,
47,4.02950308,8.792593956,2.19968615056132E-06,,,
48,4.1171016,8.794586182,2.42531291405612E-06,,,
49,4.20468142,8.796582222,2.66829488282383E-06,,,
50,4.29228682,8.798574448,2.98069926429889E-06,,,
51,4.37988422,8.800577164,3.4435211091477E-06,,,
52,4.4674734,8.802609444,4.13775433116825E-06,,,
53,4.55505742,8.804545403,5.0286880650674E-06,,,
54,4.64264718,8.806522369,6.6254224293516E-06,,,
55,4.7302511,8.808523178,9.43706618272699E-06,,,
56,4.81784772,8.810519218,1.56041769514559E-05,,,
57,4.90542826,8.812507629,0.000175411,,,
58,4.99301896,8.814499855,0.000514312,,,
59,5.08060528,8.81648922,0.000840741,,,
60,5.16820356,8.818499565,0.001180556,,,
61,5.25581112,8.82047081,0.001534464,,,
62,5.34341278,8.822478294,0.001931153,,,
63,5.43100484,8.825125694,0.002529617,,,
64,5.51859978,8.827108383,0.002971195,,,
65,5.606187,8.829107285,0.003429532,,,
66,5.6937944,8.831088066,0.003892177,,,
67,5.78140138,8.833086014,0.004365476,,,
68,5.86899574,8.835101128,0.004848946,,,
69,5.9565827,8.837082863,0.005322268,,,
70,6.04419214,8.839072227,0.005809646,,,
71,6.13179808,8.841076851,0.006298915,,,
72,6.21940682,8.843078613,0.006795707,,,
73,6.30700428,8.845099449,0.007296787,,,
74,6.39459898,8.847045898,0.007763823,,,
75,6.48220926,8.849034309,0.008244644,,,
76,6.56982,8.851026535,0.00872751,,,
77,6.65742228,8.853010178,0.009197124,,,
78,6.74502134,8.855009079,0.009666613,,,
79,6.83262588,8.856987953,0.010125829,,,
80,6.92022692,8.858980179,0.010583878,,,
81,7.00784554,8.86098671,0.011043677,,,
82,7.0954418,8.862962723,0.011484399,,,
83,7.18304042,8.864964485,0.011932767,,,
84,7.27064994,8.866962433,0.01237233,,,
85,7.35824418,8.868920326,0.01279719,,,
86,7.4458351,8.870912552,0.013224242,,,
87,7.53342802,8.872909546,0.01364865,,,
88,7.62102468,8.87556839,0.014321553,,,
89,7.70862612,8.877573013,0.014718514,,,
90,7.79622792,8.879545212,0.015112764,,,
91,7.88382062,8.881529808,0.015509272,,,
92,7.9714203,8.883537292,0.01591091,,,
93,8.05901088,8.885551453,0.016311094,,,
94,8.14661254,8.887570381,0.0167164,,,
95,8.23419292,8.889499664,0.01707989,,,
96,8.32178528,8.891489029,0.017464353,,,
97,8.40939848,8.893489838,0.017853327,,,
98,8.49700546,8.895466805,0.018232694,,,
99,8.58460282,8.897463799,0.018612884,,,
100,8.67219994,8.899440765,0.018981963,,,
