data points,time/s,voltage/V,current/A,time SD,voltage SD,current SD
1,0,8.699543953,9.55852328843321E-07,2.541390653,0.061625654,0.0980331
2,0.08761078,8.70156002,9.78993512035231E-07,,,
3,0.1752066,8.703536034,9.55852442530158E-07,,,
4,0.2628072,8.705540657,9.73208443610929E-07,,,
5,0.35038974,8.70755291,9.84778921520046E-07,,,
6,0.43798146,8.709526062,9.84778921520046E-07,,,
7,0.52558288,8.711513519,1.01370517313626E-06,,,
8,0.61317892,8.713514328,9.90564103631186E-07,,,
9,0.70077866,8.71551609,9.96349399429164E-07,,,
10,0.78836086,8.717541695,1.00791999102512E-06,,,
11,0.87594628,8.719480515,1.0137052868231E-06,,,
12,0.96355082,8.721467018,1.00791999102512E-06,,,
13,1.05115032,8.723463058,1.00791999102512E-06,,,
14,1.13875024,8.726110458,1.01370517313626E-06,,,
15,1.22633126,8.72812748,1.04263142475247E-06,,,
16,1.31391572,8.730088234,1.06577260794438E-06,,,
17,1.40151478,8.732085228,1.0599873121464E-06,,,
18,1.48910996,8.734086037,1.04841672055045E-06,,,
19,1.57671066,8.736075401,1.07155790374236E-06,,,
20,1.66429968,8.738088608,1.08312849533831E-06,,,
21,1.75188518,8.740058899,1.06577272163122E-06,,,
22,1.83948708,8.74204731,1.08891390482313E-06,,,
23,1.92708424,8.744047165,1.07734319954034E-06,,,
24,2.01466492,8.7460289,1.08312849533831E-06,,,
25,2.10224936,8.748023987,1.08891379113629E-06,,,
26,2.18983532,8.750041962,1.1294107480353E-06,,,
27,2.27742892,8.752024651,1.08891379113629E-06,,,
28,2.3650341,8.754013062,1.1294107480353E-06,,,
29,2.45262354,8.756014824,1.1351958164596E-06,,,
30,2.5402084,8.758022308,1.12362522486364E-06,,,
31,2.62779922,8.760057449,1.15255181754037E-06,,,
32,2.7153897,8.762059212,1.15833688596467E-06,,,
33,2.80298606,8.764043808,1.1930485470657E-06,,,
34,2.89057268,8.766047478,1.1872634786414E-06,,,
35,2.97815664,8.768029213,1.16990759124747E-06,,,
36,3.0657663,8.770028114,1.21040454814647E-06,,,
37,3.15338,8.772004128,1.21618973025761E-06,,,
38,3.2409783,8.773994446,1.21040443445963E-06,,,
39,3.32860238,8.776660919,1.26247186926776E-06,,,
40,3.41620326,8.778652191,1.24511598187382E-06,,,
41,3.50380724,8.780659676,1.28561305245967E-06,,,
42,3.59141902,8.782632828,1.3087540082779E-06,,,
43,3.679033,8.784619331,1.30875423565158E-06,,,
44,3.7666353,8.786623955,1.30296882616676E-06,,,
45,3.85423838,8.788598061,1.35503637466172E-06,,,
46,3.94184638,8.790594101,1.34925107886374E-06,,,
47,4.02945714,8.792603493,1.40131862735871E-06,,,
48,4.11707348,8.794589043,1.40710403684352E-06,,,
49,4.2046812,8.7965765,1.4360301747729E-06,,,
50,4.29228288,8.798565865,1.44760065268201E-06,,,
51,4.37988992,8.800581932,1.48231254115672E-06,,,
52,4.46749712,8.802606583,1.51123867908609E-06,,,
53,4.55509042,8.804545403,1.54595045387396E-06,,,
54,4.64269846,8.806528091,1.55752104546991E-06,,,
55,4.73030182,8.808517456,1.59223191076308E-06,,,
56,4.81791002,8.810513496,1.64429980031855E-06,,,
57,4.9055219,8.812515259,1.67322639299528E-06,,,
58,4.99311468,8.814501762,1.72529394149024E-06,,,
59,5.08071934,8.816494942,1.78314712684369E-06,,,
60,5.16832172,8.818500519,1.84099940270244E-06,,,
61,5.25592862,8.820468903,1.91042227015714E-06,,,
62,5.34351606,8.822478294,2.02034198082401E-06,,,
63,5.4310999,8.825125694,2.13604812415724E-06,,,
64,5.51869722,8.827119827,2.28646581490466E-06,,,
65,5.60628878,8.829129219,2.48895048571285E-06,,,
66,5.69388144,8.831100464,2.67986433755141E-06,,,
67,5.78149342,8.833105087,2.92284562419809E-06,,,
68,5.86908422,8.835108757,3.30467241838051E-06,,,
69,5.95668168,8.837100983,3.79063703803695E-06,,,
70,6.04428662,8.839097977,4.49644039690611E-06,,,
71,6.13188198,8.841094971,5.41051531399717E-06,,,
72,6.21948118,8.843093872,6.93782703820034E-06,,,
73,6.30708788,8.845128059,9.55855557549512E-06,,,
74,6.39468254,8.847076416,1.43776878758217E-05,,,
75,6.48228316,8.849040031,2.87367329292465E-05,,,
76,6.5698843,8.851047516,0.000360638,,,
77,6.6574782,8.853037834,0.000659129,,,
78,6.7450774,8.85504055,0.000971499,,,
79,6.83268278,8.857016563,0.001294832,,,
80,6.92028402,8.858998299,0.001637025,,,
81,7.00789532,8.861009598,0.00201298,,,
82,7.09547822,8.862987518,0.002412026,,,
83,7.18308,8.864988327,0.002836143,,,
84,7.27068284,8.866984367,0.003266325,,,
85,7.35829654,8.86895752,0.003702437,,,
86,7.44588414,8.870933533,0.004145932,,,
87,7.53347262,8.872921944,0.004595043,,,
88,7.62106548,8.875595093,0.00526255,,,
89,7.70867354,8.877599716,0.005710924,,,
90,7.79628248,8.879577637,0.006163944,,,
91,7.88386758,8.881567001,0.006625138,,,
92,7.9714542,8.883564949,0.007084491,,,
93,8.05904706,8.885579109,0.007549125,,,
94,8.14665352,8.887598038,0.008017002,,,
95,8.23426742,8.889525414,0.008446181,,,
96,8.32186286,8.891514778,0.008894996,,,
97,8.40945888,8.89351368,0.009346989,,,
98,8.4970678,8.895494461,0.009786284,,,
99,8.5846857,8.897486687,0.010223514,,,
100,8.67227324,8.899479866,0.010656341,,,
